EntityType,EntityUniqueAttributeValue,BusinessAttributeName,BusinessAttributeValue,EntityUniqueAttributeName[optional]
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00922,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00922,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00213,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00213,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00888,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00888,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00636,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00636,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00561,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00561,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00275,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00275,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00580,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00580,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00118,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00118,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00425,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00425,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00674,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00674,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00971,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00971,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00020,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00020,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00139,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00139,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00595,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00595,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00027,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00027,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00172,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00172,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00462,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00462,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00542,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00542,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00461,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00461,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00281,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00281,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00960,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00960,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00202,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00202,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00820,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00820,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00622,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00622,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00176,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00176,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00473,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00473,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00902,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00902,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00975,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00975,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00280,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00280,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00779,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00779,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00271,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00271,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00701,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00701,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00602,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00602,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00946,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00946,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00600,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00600,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00871,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00871,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00254,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00254,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00330,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00330,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00749,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00749,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00986,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00986,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00496,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00496,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00521,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00521,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00865,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00865,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00451,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00451,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00957,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00957,Data Residency.Cross Border Restricted,TRUE,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00880,Data Residency.Cloud Region,uksouth,qualifiedName
azure_sql_table,mssql://test-db.database.windows.net/test-server/test-database/test-schema//Test-Table-00880,Data Residency.Cross Border Restricted,TRUE,qualifiedName
